Company,Y-Column,Model,Method,RMSE,MAE,MSE,r2_score
500003-AEGIS LOGISTICS LTD.,UpperBandInNext3Months,Ridge Regression,RidgeFIFValue1000,0.0641456644518558,0.0490643594627079,0.00411466626797,0.7674265864307802
500003-AEGIS LOGISTICS LTD.,UpperBandInNext3Months,Elastic Net Regression,ElasticFIFValue1000,0.0652522273515647,0.0496931931818384,0.0042578531743402,0.7593332283248826
500003-AEGIS LOGISTICS LTD.,UpperBandInNext3Months,Linear Regression,LinearFIFValue100,0.0670005346721694,0.051670672508047,0.0044890716463565,0.7462640592076473
500003-AEGIS LOGISTICS LTD.,UpperBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0694628484249045,0.0481366155058296,0.0048250873113012,0.727271434989919
500003-AEGIS LOGISTICS LTD.,UpperBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0717156736824525,0.0499988256551134,0.005143137851728,0.8869291304076984
500003-AEGIS LOGISTICS LTD.,UpperBandInNext6Months,Lasso Regression,LassoFIFValue1000,0.0753102521274308,0.0595420248564513,0.0056716340754972,0.8753102453378081
500003-AEGIS LOGISTICS LTD.,UpperBandInNext6Months,Ridge Regression,RidgeFICoefficients0.1,0.0912190577850984,0.0795472912489324,0.0083209165032011,0.8170662945567807
500003-AEGIS LOGISTICS LTD.,UpperBandInNext6Months,Elastic Net Regression,ElasticFIFValue1000,0.0917052668383759,0.0771870664957842,0.0084098559658977,0.8151109780402693
500003-AEGIS LOGISTICS LTD.,UpperBandInNext6Months,Linear Regression,LinearFIFValue1000,0.1046274742713755,0.0900207482947509,0.0109469083724073,0.7593343821030437
500003-AEGIS LOGISTICS LTD.,UpperBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0652268548561575,0.0498135130040557,0.0042545425944262,0.9327688022043986
500003-AEGIS LOGISTICS LTD.,UpperBandInNext9Months,Elastic Net Regression,ElasticFIFValue1000,0.087749895166358,0.068342916372607,0.0077000441017068,0.8783222458003106
500003-AEGIS LOGISTICS LTD.,UpperBandInNext9Months,Ridge Regression,RidgeFIFValue1000,0.0928392219906852,0.0744685363278874,0.0086191211398357,0.863798792627979
500003-AEGIS LOGISTICS LTD.,UpperBandInNext9Months,Lasso Regression,LassoFICoefficients0.1,0.1053188084835597,0.0788399896935879,0.0110920514203967,0.8247210160780538
500003-AEGIS LOGISTICS LTD.,UpperBandInNext9Months,Linear Regression,LinearFIFValue1000,0.1107847371822505,0.0881510901529556,0.0122732579925403,0.8060553355902647
