Company,Y-Column,Model,Method,RMSE,MAE,MSE,n_neighbors,weights,metric,r2_score
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.07721000899302,0.0545894380282399,0.0059613854887022,16,distance,manhattan,0.7342775235572159
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0742856697380121,0.0480995772606051,0.005518360728425,16,distance,euclidean,0.8312770083726473
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0227936329178964,0.0163919099101018,0.0005195497015958,11,distance,euclidean,0.9869043795744727
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,1469.5880952917216,836.3737924954136,2159689.1698231506,15,uniform,manhattan,-0.4768230855053561
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext1Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,498.6975927304159,91.70454830539744,248699.2889951117,6,distance,manhattan,-0.0348127058085603
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,775.1777679730424,522.088320570183,600900.5719596678,1,uniform,euclidean,-0.8276562511394525
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,907.951695263858,294.3527579411132,824376.2809325135,12,uniform,manhattan,-0.1170263410781129
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,1307.1736648708834,573.4853175231192,1708702.9901319768,4,distance,euclidean,-0.2369209505271452
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,UpperBandInNext9Months,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,1387.3463536687327,697.8058184099226,1924729.905037928,16,distance,manhattan,-0.3380947851200719
500020-BOMBAY DYEING & MFG.CO.LTD.,LowerBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0848369291688805,0.0551728854797074,0.0071973045508056,16,distance,euclidean,0.8818482743313143
500020-BOMBAY DYEING & MFG.CO.LTD.,LowerBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0509202901604571,0.0336890163553969,0.0025928759500251,6,distance,euclidean,0.7905605059552813
500020-BOMBAY DYEING & MFG.CO.LTD.,LowerBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.1220825868173507,0.0988767627375928,0.0149041580040159,6,distance,euclidean,0.8581718120657038
500020-BOMBAY DYEING & MFG.CO.LTD.,LowerBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0877419262929305,0.0537070231414864,0.007698645629594,4,distance,manhattan,0.7533965353286379
500020-BOMBAY DYEING & MFG.CO.LTD.,LowerBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0887563921655742,0.0554907197721947,0.0078776971502492,11,distance,euclidean,0.8404588573082203
500020-BOMBAY DYEING & MFG.CO.LTD.,LowerBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0298720586960551,0.0186778853240972,0.0008923398907405,8,distance,euclidean,0.9846787033666592
500020-BOMBAY DYEING & MFG.CO.LTD.,UpperBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.6924655234440599,0.2695712567957838,0.4795085011586558,36,distance,euclidean,0.7632634086648487
500020-BOMBAY DYEING & MFG.CO.LTD.,UpperBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0975306721574305,0.0559783587682871,0.0095122320114801,7,distance,euclidean,0.7789167330222783
500020-BOMBAY DYEING & MFG.CO.LTD.,UpperBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,1.484091699257191,0.8167818118366491,2.2025281718040968,2,distance,euclidean,0.5644756800603696
500020-BOMBAY DYEING & MFG.CO.LTD.,UpperBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.206506614281864,0.107733136688142,0.0426449817421585,6,distance,euclidean,0.7363783980750936
500020-BOMBAY DYEING & MFG.CO.LTD.,UpperBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.2979339228243661,0.1428085892017851,0.0887646223695153,11,distance,euclidean,0.8006294392608726
500020-BOMBAY DYEING & MFG.CO.LTD.,UpperBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.6275681876305073,0.2493081811381605,0.3938418301258396,21,distance,euclidean,0.6274830376569321
500023-Asian Hotels (North) Limited,LowerBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0556702668535834,0.0353326394609032,0.0030991786115491,6,distance,euclidean,0.972458928382346
500023-Asian Hotels (North) Limited,LowerBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0469291577830804,0.0303306243601288,0.0022023458502292,6,uniform,euclidean,0.9828674039970892
500023-Asian Hotels (North) Limited,LowerBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.056987786890167,0.0399295826798242,0.003247607854639,3,distance,euclidean,0.9742912780115304
500023-Asian Hotels (North) Limited,LowerBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0627426352984924,0.041958582787679,0.0039366382841996,7,distance,euclidean,0.9663162275648332
500023-Asian Hotels (North) Limited,LowerBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0464255833523523,0.0289679041979139,0.0021553347896062,16,distance,euclidean,0.980871356035045
500023-Asian Hotels (North) Limited,LowerBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0617949016091136,0.036369510903654,0.00381860986488,3,distance,manhattan,0.9656995917960562
500023-Asian Hotels (North) Limited,UpperBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,30.756301838215013,10.293939072297835,945.9501027633884,11,distance,manhattan,0.7763310148526763
500023-Asian Hotels (North) Limited,UpperBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,69.4395569858044,48.16895495339434,4821.852074384777,96,distance,manhattan,0.293616368222295
500023-Asian Hotels (North) Limited,UpperBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,11.060668790595177,8.726357957903554,122.33839409524612,3,distance,manhattan,0.9526047279182523
500023-Asian Hotels (North) Limited,UpperBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,74.03325640564226,42.085560475580856,5480.923054023571,4,distance,manhattan,0.3791119579734702
500023-Asian Hotels (North) Limited,UpperBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,69.7233448329155,31.914017088740508,4861.344814689645,3,uniform,manhattan,0.4399298567242906
500023-Asian Hotels (North) Limited,UpperBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,63.46139832649954,23.85957302465313,4027.3490775546384,31,distance,manhattan,0.4843197492641694
500027-ATUL LTD.,LowerBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0059488249414222,0.0045441106115064,3.5388518183687495e-05,5,distance,manhattan,0.9932810049514648
500027-ATUL LTD.,LowerBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0258400138343624,0.0154799027672661,0.00066770631496,6,distance,euclidean,0.711446429100119
500027-ATUL LTD.,LowerBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0109782169761492,0.0078261345777906,0.0001205212479754,6,distance,euclidean,0.964895815955357
500027-ATUL LTD.,LowerBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.026206901754966,0.0148981827396748,0.0006868016995944,6,distance,euclidean,0.8486673276973563
500027-ATUL LTD.,LowerBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0160515048613966,0.009453985732706,0.0002576508083154,6,distance,manhattan,0.9506601565516628
500027-ATUL LTD.,LowerBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0064428502742617,0.0045745156363551,4.1510319656555234e-05,5,distance,manhattan,0.992105611811646
500027-ATUL LTD.,UpperBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.1476794082598911,0.1204675818400561,0.0218092076239916,61,distance,euclidean,0.1773654641889258
500027-ATUL LTD.,UpperBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0303298778697353,0.0237422462828236,0.000919901491593,11,distance,euclidean,0.7456572597970037
500027-ATUL LTD.,UpperBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.2938448070245085,0.2421269146224034,0.0863447706152706,21,distance,euclidean,-0.6762404878687533
500027-ATUL LTD.,UpperBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0567662001693188,0.0405479465108225,0.0032224014816631,6,distance,euclidean,0.7408512024610658
