Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Bharat Electronics Ltd.,500049,30,0.0,0.0,0.0,-
Bata India Ltd.,500043,30,0.0,0.0,0.0,-
Oil India Ltd.,533106,30,0.0,0.0,0.0,-
Orient Refractories Limited,534076,30,0.0,0.0,0.0,-
BASF India Ltd.,500042,30,0.0,0.0,0.0,-
Ujjivan Small Finance Bank Ltd.,542904,30,0.0,0.0,0.0,-
V-Guard Industries Ltd.,532953,30,0.0,0.0,0.0,-
Bajaj Finance Ltd.,500034,30,0.0,0.0,0.0,-
ABB Power Products and Systems India Ltd.,543187,30,0.0,0.0,0.0,-
Adani Power Ltd.,533096,30,0.0,0.0,0.0,-
Bajaj Finserv Ltd.,532978,30,0.0,0.0,0.0,-
Dabur India Ltd.,500096,30,0.0,0.0,0.0,-
Power Finance Corpn. Ltd.,532810,30,0.0,0.0,0.0,-
Firstsource Solutions Ltd.,532809,30,0.0,0.0,0.0,-
Aditya Birla Fashion and Retail Ltd.,535755,30,0.0,0.0,0.0,-
JK Cement Ltd,532644,30,0.0,0.0,0.0,-
Alembic Pharmaceuticals Ltd.,533573,30,0.0,0.0,0.0,-
Dr. Reddy's Laboratories Ltd.,500124,30,0.0,0.0,0.0,-
Adani Transmission Ltd.,539254,30,0.0,0.0,0.0,-
Polycab India Ltd.,542652,30,0.0,0.0,0.0,-
AIA Engineering Ltd.,532683,30,0.0,0.0,0.0,-
Bajaj Electricals Ltd.,500031,30,0.0,0.0,0.0,-
Steel Authority Of India Ltd.,500113,30,0.0,0.0,0.0,-
Gulf Oil Lubricants India Ltd.,538567,30,0.0,0.0,0.0,-
State Bank of India,500112,30,0.0,0.0,0.0,-
