Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
REC Ltd.,532955,270,0.05077716853932584,-0.21868846771908942,0.0737446592783874,0.03967278735634672 to 0.05452171353237968
Vakrangee Ltd.,511431,270,0.05004377062016116,-0.5985703003396547,0.5297234513010902,0.020089055809922506 to 0.07655312950919303
ABB India Ltd.,500002,270,0.04898426790450929,-0.3873277914601221,0.21621745249920588,0.030011299600764766 to 0.05957552152336091
Tata Motors Ltd.,500570,270,0.047442525965379484,-0.3206918347678751,0.18021280859075772,0.03222809526751938 to 0.05599227681624047
Bosch Ltd.,500530,270,0.04734463262599469,-0.22202171156743847,0.11561296498403871,0.03683309625683976 to 0.05281828597996599
United Breweries Ltd.,532478,270,0.047144575596816965,-0.22581396225442837,0.047144575596816965,0.03649867218249629 to 0.047144575596816965
Tata Elxsi Ltd.,500408,270,0.047031025896414336,-0.09487173790927254,0.0838592156032735,0.04256911073396551 to 0.05097501083710489
HDFC Bank Ltd.,500180,270,0.04527339627659575,-0.2472302466161761,0.0660757435469825,0.03408044334998111 to 0.048264869598469
TVS Motor Co. Ltd.,532343,270,0.04437613751668892,-0.18259173200541562,0.08473575869225872,0.03627342170780619 to 0.04813638319699756
Max Financial Services Ltd.,500271,270,0.04406272297335965,-0.25701581795987277,0.3202442462013306,0.032737906186822346 to 0.058173556477541265
Bajaj Holdings & Investment Ltd.,500490,270,0.04298833731739708,-0.31579224382154986,0.06338284042690577,0.02941295381777859 to 0.04571306024180365
TV Today Network Ltd.,532515,270,0.041004972602567316,-0.2830586655824805,0.4824381832070552,0.02939815977543844 to 0.06078733708740497
Bank of India,532149,270,0.04092754860186418,-0.08564290981829561,0.2110989787545273,0.03742239424787081 to 0.04956731231464399
Vedanta Ltd.,500295,270,0.04033263399999999,-0.44712004430002245,0.26426784073827375,0.0222991048991834 to 0.050991252098467076
Ajanta Pharma Ltd.,532331,270,0.03926002862849534,-0.2148860883921029,0.29686893283402876,0.030823594646356003 to 0.05091511143047017
Indraprastha Gas Ltd.,532514,270,0.03851270226969293,-0.21529632428371595,0.139729320188229,0.030221059032794918 to 0.04389405597644879
Ceat Ltd.,500878,270,0.03705606157965195,-0.035620168625755545,0.41364329653369175,0.035736118417578365 to 0.05238405304801467
Jindal Stainless Ltd.,532508,270,0.03680926845637584,-0.3064408312874028,0.02590943234050656,0.025529405631522856 to 0.03776297570694985
Minda Corporation Ltd.,538962,270,0.0362901693548387,-0.10968670180132381,0.0362901693548387,0.032309620370494965 to 0.0362901693548387
Garware Technical Fibres Ltd.,509557,270,0.03595128825136611,-0.16016816098028544,0.15322457559006125,0.030193036527272663 to 0.04145990913559764
City Union Bank Ltd.,532210,270,0.03583094181326116,-0.1985770263847902,0.13233253373116946,0.028715739935417317 to 0.040572541129384104
Kotak Mahindra Bank Ltd.,500247,270,0.03569005039787799,-0.2562365117797578,0.12708616168962986,0.026544956378681976 to 0.04022576191345375
Zensar Technologies Ltd.,504067,270,0.03485989214380825,-0.2649544241697643,0.034581336340996714,0.025623609494225447 to 0.03606539379884416
Vodafone Idea Ltd.,532822,270,0.03473494596758603,-0.24031133761302118,0.09571947796855654,0.026387744640199415 to 0.03805975686286939
GE Power India Ltd.,532309,270,0.03454332802124834,-0.039057950749926254,0.12555954137240916,0.033194136416655876 to 0.038880572445072974
Time Technoplast Ltd,532856,270,0.03453922690763052,-0.1683693708158348,0.10345981241397872,0.028723879004727417 to 0.03811264884441782
Astrazeneca Pharma India Ltd.,506820,270,0.034102693633952255,-0.20116165805857444,0.2121961274538022,0.027242539238282827 to 0.041339153158820356
Mahanagar Gas Ltd.,539957,270,0.032853748344370874,-0.0946560862443562,0.0908542337556437,0.02974394110763573 to 0.03583865047619944
Cipla Ltd.,500087,270,0.0326185604249668,-0.2747780327168592,0.15317522569949654,0.023655696561338427 to 0.037614915780053756
NHPC Ltd.,533098,270,0.02986734347826087,-0.05432005270023417,0.02965265700850356,0.028244947806505744 to 0.030752989570176907
South Indian Bank Ltd.,532218,270,0.029459208791208787,-0.11437185334008869,0.16001596815582575,0.026089904483825605 to 0.034173152607038675
Aarti Industries Ltd.,524208,270,0.029021461847389587,-0.20106140679036918,0.5848965943524362,0.02318636590124041 to 0.04599601604505692
Natco Pharma Ltd.,524816,270,0.026892613484646194,-0.14221090443780357,0.16383241464820936,0.023068190598298385 to 0.03129849528803677
MindTree Ltd.,532819,270,0.026005791777188345,-0.3032317571724205,0.25948084922792425,0.018120009839931436 to 0.03275379671237775
Hero Motocorp Ltd.,500182,270,0.02564968393094289,-0.04736489295126546,0.09211471823955224,0.024434789397319988 to 0.02801239733917527
