Company,Security Id,Average Returns %
Kotak Mahindra Bank Ltd.,500247,0.0
Kajaria Ceramics Ltd.,500233,0.0
JSW Steel Ltd.,500228,0.0
Infosys Ltd.,500209,0.0
Himadri Speciality Chemical Ltd.,500184,0.0
EID-Parry (India) Ltd.,500125,0.0
HFCL Ltd.,500183,0.0
Hero Motocorp Ltd.,500182,0.0
HDFC Bank Ltd.,500180,0.0
GHCL Ltd.,500171,0.0
Kansai Nerolac Paints Ltd.,500165,0.0
Godrej Industries Ltd.,500164,0.0
Godfrey Phillips India Ltd.,500163,0.0
UFLEX Ltd.,500148,0.0
Finolex Cables Ltd.,500144,0.0
EPL Ltd.,500135,0.0
Esab India Ltd.,500133,0.0
Procter & Gamble Health Ltd.,500126,0.0
Apollo Tyres Ltd.,500877,0.0
EIH Ltd.,500840,0.0
Finolex Industries Ltd.,500940,0.0
Heritage Foods Ltd.,519552,0.0
3M India Ltd.,523395,0.0
Nilkamal Ltd.,523385,0.0
DCM Shriram Ltd.,523367,0.0
Balmer Lawrie & Co. Ltd.,523319,0.0
Kalpataru Power Transmission Ltd.,522287,0.0
Timken India Ltd.,522113,0.0
Alok Industries Ltd.,521070,0.0
Trident Ltd.,521064,0.0
Ratnamani Metals & Tubes Ltd.,520111,0.0
JTEKT India Ltd.,520057,0.0
Jamna Auto Inds. Ltd.,520051,0.0
CCL Products (India) Ltd.,519600,0.0
Tasty Bite Eatables Ltd.,519091,0.0
Sequent Scientific Ltd.,512529,0.0
Kei Industries Ltd.,517569,0.0
TTK Prestige Ltd.,517506,0.0
Symphony Ltd.,517385,0.0
Havells India Ltd.,517354,0.0
Motherson Sumi Systems Ltd.,517334,0.0
Honeywell Automation India Ltd.,517174,0.0
NLC India Ltd.,513683,0.0
Hindustan Copper Ltd.,513599,0.0
MMTC Ltd.,513377,0.0
Carborundum Universal Ltd.,513375,0.0
Nava Bharat Ventures Ltd.,513023,0.0
Adani Enterprises Ltd.,512599,0.0
Johnson Controls - Hitachi Air Conditioning India Ltd.,523398,0.0
JM Financial Ltd.,523405,0.0
Linde India Ltd.,523457,0.0
Shipping Corpn. Of India Ltd.,523598,0.0
Manappuram Finance Ltd.,531213,0.0
Emami Ltd.,531162,0.0
Indian Oil Corpn. Ltd.,530965,0.0
KRBL Ltd.,530813,0.0
Shilpa Medicare Ltd.,530549,0.0
Relaxo Footwears Ltd.,530517,0.0
JK Tyre & Industries Ltd.,530007,0.0
India Cements Ltd.,530005,0.0
Gujarat Alkalies & Chemicals Ltd.,530001,0.0
La Opala RG Ltd.,526947,0.0
Blue Dart Express Ltd.,526612,0.0
