Predicted Values,Actual Values
[-0.00168762],[0.00852055]
[-0.00119703],[-0.03856964]
[0.00158774],[0.0042161]
[0.00505403],[-0.00224173]
[-0.00202302],[0.00135881]
[-0.00246492],[-0.00971066]
[-9.483259e-05],[-0.0045068]
[-0.00079343],[-0.00061822]
[-0.00148622],[-0.01757593]
[0.0006907],[-0.00158784]
[-0.00140997],[0.00240903]
[0.00076479],[0.00989501]
[-0.0027534],[0.00647479]
[-0.00370347],[0.00110503]
[1.9088635e-05],[0.02756559]
[-0.00163275],[0.04185667]
[-0.00034828],[-0.01928626]
[-0.00613474],[0.00932097]
[-0.00074565],[0.00722634]
[0.00086941],[0.00468481]
[0.00046345],[-0.01012302]
[0.00036243],[0.03025295]
[-0.0011177],[-0.00220937]
[-0.00091109],[-0.00475314]
[-0.00460042],[0.00280031]
[0.00021688],[-0.04309879]
[-0.00295515],[-0.0056592]
[-0.00586907],[0.00115484]
[-0.00230824],[-0.00376149]
[-3.4956523e-05],[-0.035338]
[0.00343992],[0.0014307]
[-0.00100495],[-0.00984967]
[-3.0767892e-06],[-0.00822609]
[-0.00072557],[-0.0176613]
[-0.00156112],[0.03283783]
[0.0002999],[-0.00407642]
[0.00446865],[-0.01302248]
[-0.00157494],[-0.00408016]
[-0.00363807],[-0.01007422]
[-0.00020956],[0.0137134]
[0.00073622],[0.00601227]
[-0.00027475],[0.00813008]
[0.0001088],[-0.00749523]
[0.00013947],[-0.00493032]
[-0.00533066],[-0.02604891]
[0.00046008],[-0.00697647]
[-0.00113426],[-0.00038954]
[0.00010204],[0.00641371]
[-0.00035577],[-0.00402336]
[-0.00036738],[-0.0002572]
[-0.00065561],[-0.03322163]
[-0.00169655],[-0.02217087]
[-0.00523461],[-0.00475118]
[0.00163878],[-0.00799292]
[-0.00583802],[0.00569086]
[0.00547638],[0.01304243]
[0.00362592],[-0.00290829]
[0.00046326],[0.00124472]
[-0.00060597],[0.00538019]
[-0.00115172],[-0.00030225]
[-0.00065849],[-0.00995134]
[-0.00211318],[0.01085271]
[-0.00031612],[-0.00215834]
[-0.00050639],[-0.00544592]
[-0.00087815],[0.02293925]
[-0.00047916],[-0.02514031]
[0.00119352],[0.00681431]
[0.00104491],[-0.01288736]
[0.00025242],[-0.00694993]
[-0.00683477],[0.00745257]
[-0.00234009],[0.01464927]
[-0.00489213],[0.02636563]
[-0.00321129],[0.01192677]
[-0.00178175],[0.0420989]
[0.0002629],[0.00796485]
[-0.00047433],[0.01729947]
[-0.00431619],[-0.01374764]
[-0.00420074],[0.02902432]
[-0.00047762],[-0.00754289]
[-0.00087431],[-0.03201075]
[-0.00174351],[0.00524389]
[0.00175533],[-0.00051054]
[-0.00240162],[0.00412615]
[-0.00706113],[0.00040774]
[-0.00063107],[-0.05118769]
[0.00201294],[0.02418688]
[0.00075256],[-0.01007534]
[-0.00741016],[-0.0028414]
[-0.00738756],[-0.01865185]
[-0.00071569],[0.00375094]
[-0.00164616],[0.02989475]
[0.00028968],[-0.04278164]
[-0.00133636],[-0.00895331]
[-0.0016442],[-0.00523458]
[0.00340595],[-0.00422874]
[-0.00351482],[-0.00669646]
[-0.00050786],[0.05826687]
[-0.00177243],[-0.00730126]
[-0.00044023],[0.00102712]
[0.00045869],[-0.00090972]
[-0.00136226],[-0.00463152]
[-0.00125866],[-0.01233622]
[-0.00085095],[-0.02130731]
[-0.00331387],[-0.01271296]
[0.00030594],[-0.0136422]
[0.00165814],[-0.01960686]
[0.00068399],[0.00117266]
[-0.00020776],[0.02443969]
[-0.00363494],[0.0165381]
[-0.00407742],[-0.02305296]
[-4.1723895e-05],[0.0251965]
[-0.00190714],[-0.01313256]
[0.00200847],[0.00628128]
[0.00171488],[0.00022456]
[0.0005365],[0.00574857]
[0.00168319],[-0.01329761]
[-0.0002035],[-0.02014794]
[-0.00087317],[-0.0136153]
[0.0014375],[-0.00509463]
[0.00188979],[-0.02510731]
[-0.00322712],[0.00694061]
[-0.00150037],[-0.02042877]
[0.0033188],[-0.00366569]
[-4.4345983e-05],[-0.0152076]
[-8.971551e-05],[-0.01144919]
[0.00191079],[0.0003576]
[0.00029247],[-0.00329943]
[-0.00036042],[-0.01581715]
[-0.00241965],[-0.00587401]
[-0.00168469],[-0.0271414]
[-0.00014475],[-0.00076798]
[-0.00459913],[-0.02652012]
[9.879643e-05],[-0.00311756]
[-0.0051542],[0.0030788]
[0.00185211],[-0.01231124]
[-0.00183977],[0.10983421]
[0.00255437],[-0.00618156]
[0.0045875],[-0.00558522]
[0.00083599],[-0.02598588]
[0.00101437],[0.0088539]
[0.00026098],[0.00018728]
[-0.00133123],[-0.05126743]
[-0.00147929],[-0.0133508]
[-0.00131763],[0.00774352]
[0.00065297],[-0.02071139]
[-0.00297808],[0.00207354]
[0.00100474],[-0.0182559]
[0.00049196],[-0.01281867]
[0.00130092],[0.01439075]
[-4.1038064e-05],[-0.01520011]
[-0.00497556],[-0.02067032]
[-0.00029674],[-0.00767959]
[-0.00330724],[-0.00413654]
[-0.00480376],[0.00069707]
