SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
507486,CAPROLA.CHEM,XT,Q,21.75,21.75,21.75,21.75,21.75,21.75,1,1,21.00,
507488,G.M.BREWERI ,B ,Q,424.15,429.60,421.10,421.70,421.50,423.95,173,1037,441499.00,
507490,RANA SUGARS ,B ,Q,6.95,7.06,6.89,6.90,6.90,6.91,91,27645,192309.00,
507498,PICCADILY SU,X ,Q,5.09,5.09,4.65,4.68,4.65,4.98,30,5068,23958.00,
507508,RIGA SUGAR  ,X ,Q,4.01,4.16,3.82,3.85,3.85,4.02,34,18790,72683.00,
507514,SOM DISTILL.,B ,Q,28.05,28.35,27.95,28.15,28.30,27.60,139,14518,408772.00,
507515,CJ GELATIN  ,XT,Q,11.00,11.97,11.00,11.97,11.97,11.40,5,214,2549.00,
507522,MOUNTT SHIV.,Z ,Q,3.70,3.70,3.70,3.70,3.70,3.89,7,2066,7644.00,
507525,AMRIT CORP  ,X ,Q,700.00,759.00,693.45,707.00,707.00,729.55,6,16,11386.00,
507526,ASSO.ALCOHOL,B ,Q,380.50,380.50,366.40,367.45,369.35,363.60,1399,65553,24645620.00,
507552,FOODS & INNS,X ,Q,53.10,53.10,50.10,51.05,51.05,53.85,879,125027,6389191.00,
507580,IVP LIMITED ,B ,Q,114.95,115.10,113.00,115.10,115.10,109.65,53,2820,324223.00,
507598,KLRFM       ,X ,Q,47.60,47.60,45.10,45.95,46.00,46.50,11,525,24030.00,
507621,MILKFOOD    ,X ,Q,375.00,384.00,370.00,370.65,370.00,375.10,61,875,326737.00,
507645,POLSON LTD. ,X ,Q,9150.00,9299.00,9001.50,9010.00,9010.00,8991.85,13,26,235960.00,
