% Deli. Qty to Traded Qty,Close Price,Code,Date,Deliverable Quantity,High Price,Low Price,No. of Trades,No.of Shares,Open Price,Spread Close-Open,Spread High-Low,Total Turnover (Rs.),Unix Date,WAP,Company
80.2,6.11,500193.0,2021-05-12,68807.0,6.4,6.1,195.0,85795.0,6.16,-0.04999999999999982,0.3000000000000007,532597.0,1620757800.0,6.20778600151524,HLV LTD
41.19,462.15,500199.0,2021-05-12,1695.0,479.0,460.0,276.0,4115.0,475.65,-13.5,19.0,1928728.0,1620757800.0,468.70668286755773,I G PETROCHEMICALS LTD
12.68,496.75,500201.0,2021-05-12,6598.0,515.4,493.0,1634.0,52055.0,514.8,-18.049999999999955,22.399999999999977,26372924.0,1620757800.0,506.6357506483527,INDIA GLYCOLS LTD
100.0,10.6,500202.0,2021-05-12,21.0,10.6,10.6,1.0,21.0,10.6,0.0,0.0,222.0,1620757800.0,10.571428571428571,INDIA LEASE DEVELOPMENT LTD
99.91,9.65,500206.0,2021-05-12,2114.0,10.46,9.48,16.0,2116.0,10.46,-0.8100000000000005,0.9800000000000004,21158.0,1620757800.0,9.999054820415878,MARGO FINANCE LIMITED
52.27,47.4,500207.0,2021-05-12,62063.0,50.5,43.05,1152.0,118727.0,43.3,4.100000000000001,7.450000000000003,5688366.0,1620757800.0,47.91130913776984,INDO RAMA SYNTHETICS INDIA LTD
82.08,1326.95,500209.0,2021-05-12,931184.0,1334.3,1315.0,21914.0,1134464.0,1332.0,-5.0499999999999545,19.299999999999955,1496453046.0,1620757800.0,1319.0837664306669,INFOSYS LTD
38.45,775.45,500210.0,2021-05-12,1797.0,813.35,768.3,585.0,4673.0,806.1,-30.649999999999977,45.05000000000007,3677924.0,1620757800.0,787.0584207147443,INGERSOLLRAND INDIA LTD
96.36,6.96,500211.0,2021-05-12,64654.0,7.2,6.8,116.0,67097.0,7.05,-0.08999999999999986,0.40000000000000036,469883.0,1620757800.0,7.003040374383356,INSILCO LTD
100.0,30.35,500212.0,2021-05-12,347.0,30.35,30.35,3.0,347.0,30.35,0.0,0.0,10531.0,1620757800.0,30.34870317002882,INTEGRATED FINANCIAL SERVICES LTD
84.7,58.7,500213.0,2021-05-12,16896.0,62.0,58.0,113.0,19948.0,59.95,-1.25,4.0,1198158.0,1620757800.0,60.06406657309003,INTERNATIONAL TRAVEL HOUSE LTD
70.27,1418.6,500214.0,2021-05-12,8385.0,1453.95,1405.0,643.0,11932.0,1440.05,-21.450000000000045,48.950000000000045,17066218.0,1620757800.0,1430.2898089171974,ION EXCHANGE INDIA LTD
43.23,972.3,500215.0,2021-05-12,2038.0,997.5,968.5,485.0,4714.0,995.0,-22.700000000000045,29.0,4630058.0,1620757800.0,982.1930420025456,AGRO TECH FOODS LTD
51.67,20.15,500219.0,2021-05-12,683009.0,20.3,19.2,1258.0,1321766.0,19.6,0.5499999999999972,1.1000000000000014,26768301.0,1620757800.0,20.251921293178974,JAIN IRRIGATION SYSTEMS LTD
92.6,68.8,500220.0,2021-05-12,35417.0,69.8,66.05,254.0,38249.0,67.0,1.7999999999999972,3.75,2582198.0,1620757800.0,67.51020941723966,JASCH INDUSTRIES LTD
82.12,1.28,500223.0,2021-05-12,8165379.0,1.39,1.27,2616.0,9942836.0,1.39,-0.10999999999999988,0.11999999999999988,13213165.0,1620757800.0,1.3289130988381987,JCT LTD
10.55,800.6,500227.0,2021-05-12,2842.0,827.3,795.0,1863.0,26936.0,827.3,-26.699999999999932,32.299999999999955,21819560.0,1620757800.0,810.0519750519751,JINDAL POLY FILMS LTD
15.44,707.75,500228.0,2021-05-12,118982.0,742.65,699.25,13204.0,770752.0,739.95,-32.200000000000045,43.39999999999998,555678442.0,1620757800.0,720.9562115959478,JSW STEEL LTD
77.48,62.0,500231.0,2021-05-12,3082.0,62.8,60.3,246.0,3978.0,61.5,0.5,2.5,244886.0,1620757800.0,61.56008044243338,UMANG DAIRIES LTD
40.86,879.85,500233.0,2021-05-12,3953.0,895.0,860.0,941.0,9675.0,890.0,-10.149999999999977,35.0,8530109.0,1620757800.0,881.6650129198966,KAJARIA CERAMICS LTD
41.5,255.1,500234.0,2021-05-12,3441.0,274.0,251.0,777.0,8291.0,267.2,-12.099999999999994,23.0,2171513.0,1620757800.0,261.91207333252925,KAKATIYA CEMENT SUGAR  INDUSTRIES LTD
48.76,362.85,500235.0,2021-05-12,5776.0,382.75,360.25,559.0,11845.0,382.75,-19.899999999999977,22.5,4369504.0,1620757800.0,368.8901646264247,KALYANI STEELS LTD
100.0,2.21,500236.0,2021-05-12,15280.0,2.21,2.2,18.0,15280.0,2.21,0.0,0.009999999999999787,33758.0,1620757800.0,2.2092931937172775,KANEL INDUSTRIES LIMITED
54.91,2095.9,500238.0,2021-05-12,7209.0,2165.0,2089.0,2133.0,13128.0,2165.0,-69.09999999999991,76.0,27704371.0,1620757800.0,2110.326858622791,WHIRLPOOL OF INDIA LTD
73.2,44.55,500239.0,2021-05-12,183592.0,44.75,40.6,1161.0,250792.0,44.0,0.5499999999999972,4.149999999999999,10972693.0,1620757800.0,43.75216514083384,KG DENIM LTD
100.0,40.0,500240.0,2021-05-12,9305.0,40.35,36.65,56.0,9305.0,38.85,1.1499999999999986,3.700000000000003,367090.0,1620757800.0,39.4508328855454,KINETIC ENGINEERING LTD
68.84,258.15,500241.0,2021-05-12,6562.0,263.0,254.8,544.0,9532.0,260.65,-2.5,8.199999999999989,2466846.0,1620757800.0,258.7962652119177,KIRLOSKAR BROTHERS LTD
80.76,1458.85,500243.0,2021-05-12,575.0,1473.9,1443.0,68.0,712.0,1451.0,7.849999999999909,30.90000000000009,1032004.0,1620757800.0,1449.443820224719,KIRLOSKAR INDUSTRIES LTD
50.44,257.65,500245.0,2021-05-12,30675.0,264.75,252.8,1937.0,60814.0,255.7,1.9499999999999886,11.949999999999989,15800411.0,1620757800.0,259.8153550169369,KIRLOSKAR FERROUS INDUSTRIES LTD
100.0,29.5,500246.0,2021-05-12,251.0,29.5,29.0,2.0,251.0,29.0,0.5,0.5,7404.0,1620757800.0,29.49800796812749,ENVAIR ELECTRODYNE LTD
57.47,1718.55,500247.0,2021-05-12,110543.0,1759.0,1714.9,13765.0,192353.0,1759.0,-40.450000000000045,44.09999999999991,331657416.0,1620757800.0,1724.212338772985,KOTAK MAHINDRA BANK LTD
62.32,930.95,500249.0,2021-05-12,1234.0,949.8,921.1,212.0,1980.0,947.65,-16.699999999999932,28.699999999999932,1847602.0,1620757800.0,933.1323232323232,KSB LTD
75.57,292.0,500250.0,2021-05-12,4874.0,294.2,288.55,393.0,6450.0,290.65,1.3500000000000227,5.649999999999977,1883161.0,1620757800.0,291.9629457364341,LGBALAKRISHNAN  BROSLTD
43.04,769.25,500251.0,2021-05-12,8354.0,775.95,753.55,1014.0,19410.0,753.55,15.700000000000045,22.40000000000009,14934156.0,1620757800.0,769.4052550231839,TRENT LTD
41.42,6084.9,500252.0,2021-05-12,128.0,6197.0,6055.0,140.0,309.0,6106.85,-21.950000000000728,142.0,1886870.0,1620757800.0,6106.375404530744,LAKSHMI MACHINE WORKS LTD
44.32,429.0,500253.0,2021-05-12,95572.0,439.8,427.05,4088.0,215660.0,429.0,0.0,12.75,93391783.0,1620757800.0,433.0510201242697,LIC HOUSING FINANCE LTD
23.92,1210.75,500257.0,2021-05-12,63040.0,1226.2,1193.0,7736.0,263516.0,1211.0,-0.25,33.200000000000045,319173255.0,1620757800.0,1211.2101542221344,LUPIN LTD
100.0,45.05,500259.0,2021-05-12,8922.0,45.05,45.05,34.0,8922.0,45.05,0.0,0.0,401936.0,1620757800.0,45.04998879175073,LYKA LABS LTD
