DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
2021-05-12,506852,31331,3170698,36365,3694771,86.16
2021-05-12,506854,12121,2760558,18227,4138805,66.5
2021-05-12,506858,218,8320,218,8320,100.0
2021-05-12,506863,6036,5674,6036,5673,100.0
2021-05-12,506879,22291,6166806,31012,8860055,71.88
2021-05-12,506910,437,28427,437,28881,100.0
2021-05-12,506919,11484,2641320,17485,4041884,65.68
2021-05-12,506935,100,1323,100,1323,100.0
2021-05-12,506943,4097,5681310,11609,16120889,35.29
2021-05-12,506981,1138,116873,1266,135274,89.89
2021-05-12,507155,1780,66957,1780,66957,100.0
2021-05-12,507180,3122,210735,4168,284202,74.9
2021-05-12,507205,108144,4671821,168492,7314377,64.18
2021-05-12,507265,3,360,3,360,100.0
2021-05-12,507300,92,175691,92,175691,100.0
2021-05-12,507315,204838,3275360,311727,5107364,65.71
